run,trial,global time,run time,morph level,couple,response,response time
1,1,1747992,962,15,6,0,
1,2,1753895,6865,95,4,0,
1,3,1758797,11767,75,1,0,
1,4,1762198,15168,5,6,0,
1,5,1766583,19553,45,2,0,
1,6,1771785,24755,55,8,0,
1,7,1776188,29158,25,3,0,
1,8,1781590,34560,35,4,1,1413
1,9,1787292,40262,85,6,0,
1,10,1791694,44664,55,1,0,
1,11,1796796,49766,75,4,0,
1,12,1801297,54267,65,9,0,
1,13,1805499,58469,45,8,0,
1,14,1810084,63054,45,1,0,
1,15,1814487,67457,15,7,0,
1,16,1820288,73258,95,5,0,
1,17,1825674,78644,45,9,0,
1,18,1836012,88982,95,1,0,
1,19,1839976,92946,25,8,0,
1,20,1839976,92946,25,8,0,
2,1,45173,853,15,6,0,
2,2,51076,6756,95,4,1,675
2,3,55977,11657,75,1,0,
2,4,59378,15058,5,6,1,1375
2,5,63781,19461,45,2,1,1027
2,6,68983,24663,55,8,0,
2,7,73384,29064,25,3,0,
2,8,78787,34467,35,4,1,741
2,9,84489,40169,85,6,1,1267
2,10,88890,44570,55,1,0,
2,11,93993,49673,75,4,1,1174
2,12,98495,54175,65,9,0,
2,13,102696,58376,45,8,0,
2,14,107298,62978,45,1,1,872
2,15,111700,67380,15,7,0,
2,16,117502,73182,95,5,1,716
2,17,122904,78584,45,9,0,
2,18,132708,88388,95,1,0,
2,19,136709,92389,25,8,1,894
2,20,141511,97191,5,5,0,
2,21,146914,102594,55,9,0,
2,22,151116,106796,55,6,1,1254
2,23,156518,112198,35,1,0,
2,24,161520,117200,65,2,1,979
2,25,165321,121001,65,5,0,
2,26,169523,125203,35,3,1,4354
2,27,174325,130005,5,4,0,
2,28,179327,135007,95,7,0,
2,29,183729,139409,85,8,0,
2,30,190215,145895,85,9,0,
2,31,194299,149979,75,5,1,916
2,32,198401,154081,95,8,0,
2,33,203987,159667,25,2,1,1146
2,34,208188,163868,65,6,1,1285
2,35,212690,168370,45,4,0,
2,36,217292,172972,85,1,0,
2,37,223594,179274,65,1,0,
2,38,227696,183376,65,3,0,
2,39,238100,193780,5,3,0,
2,40,242502,198182,5,2,1,846
2,41,247604,203284,95,2,0,
2,42,252389,208069,35,2,1,867
2,43,256391,212071,55,2,1,1008
2,44,271081,226761,95,6,1,866
2,45,275282,230962,55,5,0,
2,46,280284,235964,25,4,0,
2,47,286086,241766,95,9,0,
2,48,289688,245368,45,3,1,929
2,49,295390,251070,55,7,0,
2,50,300675,256355,15,3,0,
2,51,305260,260940,5,8,1,1313
2,52,309863,265543,85,7,0,
2,53,313864,269544,55,3,0,
2,54,318866,274546,55,4,1,862
2,55,323968,279648,45,7,0,
2,56,328253,283933,35,6,0,
2,57,333239,288919,35,7,0,
2,58,337240,292920,85,3,1,2237
2,59,343542,299222,15,8,1,979
2,60,347144,302824,75,6,1,1061
2,61,352546,308226,25,9,0,
2,62,357032,312712,25,6,0,
2,63,362434,318114,25,5,1,1161
2,64,367835,323515,45,5,1,930
2,65,371437,327117,55,1,0,
2,66,376922,332602,85,5,1,969
2,67,382025,337705,65,8,0,
2,68,385327,341007,15,5,1,1150
2,69,391529,347209,85,4,0,
2,70,401016,356696,25,7,0,
2,71,406301,361981,5,7,1,669
2,72,409703,365383,95,3,0,
2,73,415388,371068,15,1,1,1242
2,74,420491,376171,55,6,0,
2,75,423892,379572,55,7,0,
2,76,429677,385357,5,1,0,
2,77,434080,389760,45,6,0,
2,78,438781,394461,75,8,0,
2,79,444466,400146,75,2,1,850
2,80,454071,409751,35,5,1,896
2,81,457572,413252,5,9,0,
2,82,462674,418354,35,8,1,973
2,83,467076,422756,45,7,0,
2,84,471978,427658,45,3,0,
2,85,476980,432660,25,1,1,642
2,86,482782,438462,85,2,0,
2,87,486284,441964,95,2,0,
2,88,491085,446765,5,9,0,
2,89,497288,452968,75,7,0,
2,90,500889,456569,75,9,0,
2,91,506391,462071,65,7,0,
2,92,511494,467174,5,6,0,
2,93,515395,471075,15,9,0,
2,94,515395,471075,15,9,0,
3,1,628491,1636,25,5,0,
3,2,632692,5837,45,6,0,
3,3,637794,10939,85,3,0,
3,4,642296,15441,55,4,1,1422
3,5,646898,20043,45,4,1,1359
