Cog2000 log file Tue Jul 03 17:06:19 2012,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
0,[0],:,COGENT START,,,,
171071,[171071],:,Key,76.0,DOWN,at,171071.0
171071,[0],:,Debut_run 1 : run 1,,,,
201803,[30732],:,Byte,107.0,COM1,at,201803.0
201804,[1],:,Byte,176.0,COM1,at,201803.0
201804,[0],:,Byte,55.0,COM1,at,201803.0
201806,[2],:,Byte,31.0,COM1,at,201803.0
201809,[3],:,Byte,62.0,COM1,at,201803.0
201811,[2],:,Byte,0.0,COM1,at,201803.0
201813,[2],:,Byte,107.0,COM1,at,201803.0
201815,[2],:,Byte,160.0,COM1,at,201803.0
201817,[2],:,Byte,60.0,COM1,at,201803.0
201820,[3],:,Byte,31.0,COM1,at,201803.0
201822,[2],:,Byte,62.0,COM1,at,201803.0
201824,[2],:,Byte,0.0,COM1,at,201803.0
201826,[2],:,Synchro_IRM,,,,
201866,[40],:,image nostim.BMP 201866,,,,
202567,[701],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_4.BMP 202567,,,,
203067,[500],:,image croix 203067,,,,
207634,[4567],:,trigger 204202,,,,
207634,[0],:,trigger 206603,,,,
207669,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_4.BMP 207669,,,,
208136,[467],:,bouton_1 -6,,,,
208169,[33],:,image croix 208169,,,,
212336,[4167],:,trigger 209003,,,,
212336,[0],:,trigger 211404,,,,
212370,[34],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_3.BMP 212370,,,,
212871,[501],:,image croix 212870,,,,
217137,[4266],:,trigger 213803,,,,
217137,[0],:,trigger 216203,,,,
217156,[19],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_1.BMP 217156,,,,
217657,[501],:,image croix 217657,,,,
222424,[4767],:,trigger 218603,,,,
222424,[0],:,trigger 221002,,,,
222458,[34],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_4.BMP 222458,,,,
222958,[500],:,image croix 222958,,,,
227325,[4367],:,trigger 223403,,,,
227325,[0],:,trigger 225802,,,,
227343,[18],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_6.BMP 227343,,,,
227844,[501],:,image croix 227844,,,,
230811,[2967],:,trigger 228202,,,,
230811,[0],:,bouton_1 839,,,,
230811,[0],:,trigger 230603,,,,
230845,[34],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_8.BMP 230845,,,,
231345,[500],:,image croix 231345,,,,
236712,[5367],:,bouton_1 917,,,,
236712,[0],:,trigger 232507,,,,
236712,[0],:,trigger 233002,,,,
236715,[3],:,trigger 235402,,,,
236747,[32],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_3.BMP 236747,,,,
237247,[500],:,image croix 237247,,,,
240414,[3167],:,trigger 237803,,,,
240414,[0],:,trigger 240202,,,,
240449,[35],:,image nostim.BMP 240449,,,,
240949,[500],:,image croix 240949,,,,
245516,[4567],:,trigger 242603,,,,
245516,[0],:,trigger 245002,,,,
245551,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_3.BMP 245551,,,,
246051,[500],:,image croix 246051,,,,
250318,[4267],:,trigger 247403,,,,
250318,[0],:,trigger 249803,,,,
250353,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_5.BMP 250353,,,,
250853,[500],:,image croix 250853,,,,
255220,[4367],:,bouton_1 518,,,,
255220,[0],:,trigger 252203,,,,
255220,[0],:,trigger 254603,,,,
255255,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_1.BMP 255254,,,,
255755,[500],:,image croix 255755,,,,
259822,[4067],:,bouton_1 784,,,,
259822,[0],:,trigger 257002,,,,
259822,[0],:,trigger 259403,,,,
259857,[35],:,image nostim.BMP 259857,,,,
260357,[500],:,image croix 260357,,,,
264324,[3967],:,trigger 261802,,,,
264324,[0],:,trigger 264202,,,,
264359,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_9.BMP 264359,,,,
264859,[500],:,image croix 264859,,,,
270726,[5867],:,trigger 266603,,,,
270726,[0],:,bouton_2 1744,,,,
270726,[0],:,trigger 269002,,,,
270761,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_6.BMP 270761,,,,
271261,[500],:,image croix 271261,,,,
274628,[3367],:,trigger 271403,,,,
274628,[0],:,trigger 273802,,,,
274662,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_7.BMP 274662,,,,
275162,[500],:,image croix 275162,,,,
278829,[3667],:,bouton_1 629,,,,
278829,[0],:,trigger 276203,,,,
278829,[0],:,trigger 278603,,,,
278865,[36],:,image nostim.BMP 278865,,,,
279365,[500],:,image croix 279365,,,,
283632,[4267],:,trigger 281003,,,,
283632,[0],:,trigger 283403,,,,
283666,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_6.BMP 283666,,,,
284166,[500],:,image croix 284166,,,,
290033,[5867],:,bouton_1 541,,,,
290033,[0],:,trigger 285803,,,,
290033,[0],:,trigger 288202,,,,
290069,[36],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_1.BMP 290069,,,,
290569,[500],:,image croix 290569,,,,
293336,[2767],:,trigger 290603,,,,
293336,[0],:,bouton_1 635,,,,
293336,[0],:,trigger 293002,,,,
293370,[34],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_2.BMP 293370,,,,
293870,[500],:,image croix 293870,,,,
299737,[5867],:,trigger 295403,,,,
299737,[0],:,trigger 297802,,,,
299756,[19],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_3.BMP 299756,,,,
300223,[467],:,trigger 300202,,,,
300256,[33],:,image croix 300256,,,,
304323,[4067],:,bouton_1 513,,,,
304323,[0],:,trigger 302602,,,,
304341,[18],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_8.BMP 304341,,,,
304841,[500],:,image croix 304841,,,,
308208,[3367],:,trigger 305002,,,,
308208,[0],:,trigger 305002,,,,
