run,trial,global time,run time,morph level,couple,response,response time
1,1,2023579,926,15,6,0,
1,2,2029498,6845,95,4,0,
1,3,2034416,11763,75,1,0,
1,4,2037834,15181,5,6,0,
1,5,2042253,19600,45,2,0,
1,6,2047472,24819,55,8,0,
1,7,2051889,29236,25,3,0,
1,8,2057309,34656,35,4,0,
1,9,2063027,40374,85,6,0,
1,10,2067447,44794,55,1,0,
1,11,2072565,49912,75,4,0,
1,12,2077067,54414,65,9,0,
1,13,2081286,58633,45,8,0,
1,14,2085904,63251,45,1,0,
1,15,2090322,67669,15,7,0,
1,16,2096123,73470,95,5,0,
1,17,2101543,78890,45,9,1,569
1,18,2111365,88712,95,1,0,
1,19,2115382,92729,25,8,0,
1,20,2120202,97549,5,5,0,
1,21,2125620,102967,55,9,1,691
1,22,2129838,107185,55,6,0,
1,23,2135257,112604,35,1,0,
1,24,2140259,117606,65,2,0,
1,25,2144078,121425,65,5,0,
1,26,2148295,125642,35,3,1,562
1,27,2153115,130462,5,4,0,
1,28,2158133,135480,95,7,0,
1,29,2162551,139898,85,8,0,
1,30,2169071,146418,85,9,1,646
1,31,2173189,150536,75,5,0,
1,32,2177307,154654,95,8,0,
1,33,2182926,160273,25,2,0,
1,34,2187145,164492,65,6,1,610
1,35,2191663,169010,45,4,0,
1,36,2196282,173629,85,1,0,
1,37,2202601,179948,65,1,0,
1,38,2206719,184066,65,3,1,952
1,39,2217140,194487,5,3,0,
1,40,2221558,198905,5,2,0,
1,41,2226677,204024,95,2,0,
1,42,2231479,208826,35,2,0,
1,43,2235497,212844,55,2,0,
1,44,2250220,227567,95,6,1,733
1,45,2254421,231768,55,5,0,
1,46,2259440,236787,25,4,0,
1,47,2265259,242606,95,9,1,833
1,48,2268877,246224,45,3,0,
1,49,2274596,251943,55,7,0,
1,50,2279915,257262,15,3,0,
1,51,2284534,261881,5,8,0,
1,52,2289152,266499,85,7,0,
1,53,2293170,270517,55,3,0,
1,54,2298189,275536,55,4,0,
1,55,2303308,280655,45,7,0,
1,56,2307626,284973,35,6,0,
1,57,2312645,289992,35,7,0,
1,58,2316663,294010,85,3,1,580
1,59,2322982,300329,15,8,0,
1,60,2326600,303947,75,6,1,547
1,61,2332019,309366,25,9,0,
1,62,2336537,313884,25,6,0,
