Cog2000 log file Tue Jul 10 18:50:43 2012,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
0,[0],:,COGENT START,,,,
9501,[9501],:,Key,76.0,DOWN,at,9501.0
9501,[0],:,Debut_run 1 : run 1,,,,
21020,[11519],:,Byte,107.0,COM1,at,21019.0
21020,[0],:,Byte,176.0,COM1,at,21019.0
21020,[0],:,Byte,251.0,COM1,at,21019.0
21021,[1],:,Byte,126.0,COM1,at,21019.0
21022,[1],:,Byte,71.0,COM1,at,21019.0
21023,[1],:,Byte,27.0,COM1,at,21019.0
21024,[1],:,Byte,107.0,COM1,at,21019.0
21026,[2],:,Byte,160.0,COM1,at,21019.0
21027,[1],:,Byte,255.0,COM1,at,21019.0
21028,[1],:,Byte,126.0,COM1,at,21019.0
21030,[2],:,Byte,71.0,COM1,at,21019.0
21031,[1],:,Byte,27.0,COM1,at,21019.0
21033,[2],:,Synchro_IRM,,,,
21060,[27],:,image nostim.BMP 21060,,,,
21093,[33],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_6.BMP 21093,,,,
21594,[501],:,image croix 21594,,,,
26861,[5267],:,trigger 23419,,,,
26861,[0],:,trigger 25819,,,,
26896,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_6.BMP 26896,,,,
27396,[500],:,image croix 27396,,,,
31263,[3867],:,trigger 28220,,,,
31263,[0],:,trigger 30619,,,,
31297,[34],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_2.BMP 31297,,,,
31798,[501],:,image croix 31798,,,,
36765,[4967],:,trigger 33020,,,,
36765,[0],:,trigger 35419,,,,
36800,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_5.BMP 36800,,,,
37300,[500],:,image croix 37300,,,,
41467,[4167],:,trigger 37819,,,,
41467,[0],:,trigger 40220,,,,
41501,[34],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_9.BMP 41501,,,,
42002,[501],:,image croix 42002,,,,
46569,[4567],:,bouton_1 344,,,,
46569,[0],:,trigger 42620,,,,
46569,[0],:,trigger 45015,,,,
46604,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_2.BMP 46604,,,,
47104,[500],:,image croix 47104,,,,
49971,[2867],:,trigger 47419,,,,
49971,[0],:,bouton_1 352,,,,
49971,[0],:,trigger 49818,,,,
50005,[34],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_5.BMP 50005,,,,
50505,[500],:,image croix 50505,,,,
54772,[4267],:,bouton_1 361,,,,
54772,[0],:,trigger 52219,,,,
54772,[0],:,trigger 54619,,,,
54807,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_5.BMP 54807,,,,
55307,[500],:,image croix 55307,,,,
60074,[4767],:,trigger 57019,,,,
60074,[0],:,trigger 59419,,,,
60109,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_6.BMP 60109,,,,
60609,[500],:,image croix 60609,,,,
64577,[3968],:,trigger 61818,,,,
64577,[0],:,trigger 64218,,,,
64610,[33],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_2.BMP 64610,,,,
65111,[501],:,image croix 65111,,,,
70678,[5567],:,trigger 66619,,,,
70678,[0],:,bouton_1 1508,,,,
70678,[0],:,bouton_1 1508,,,,
70680,[2],:,trigger 69019,,,,
70713,[33],:,image nostim.BMP 70713,,,,
71214,[501],:,image croix 71214,,,,
75781,[4567],:,trigger 71420,,,,
75781,[0],:,trigger 73819,,,,
75815,[34],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_7.BMP 75815,,,,
76282,[467],:,trigger 76219,,,,
76315,[33],:,image croix 76315,,,,
78882,[2567],:,bouton_1 498,,,,
78882,[0],:,trigger 78619,,,,
78917,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_1.BMP 78917,,,,
79417,[500],:,image croix 79417,,,,
84784,[5367],:,trigger 81020,,,,
84784,[0],:,trigger 83419,,,,
84819,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_9.BMP 84819,,,,
85319,[500],:,image croix 85319,,,,
89186,[3867],:,trigger 85819,,,,
89186,[0],:,trigger 88219,,,,
89204,[18],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_3.BMP 89204,,,,
89704,[500],:,image croix 89704,,,,
93171,[3467],:,bouton_1 345,,,,
93171,[0],:,trigger 90619,,,,
93171,[0],:,trigger 93020,,,,
93206,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_5.BMP 93206,,,,
93706,[500],:,image croix 93706,,,,
98073,[4367],:,bouton_1 441,,,,
98073,[0],:,trigger 95420,,,,
98073,[0],:,trigger 97819,,,,
98107,[34],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_5.BMP 98107,,,,
98607,[500],:,image croix 98607,,,,
104474,[5867],:,trigger 100220,,,,
104474,[0],:,trigger 102619,,,,
104493,[19],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_1.BMP 104493,,,,
104994,[501],:,image croix 104994,,,,
108261,[3267],:,trigger 105020,,,,
108261,[0],:,trigger 107419,,,,
108295,[34],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_4.BMP 108295,,,,
108795,[500],:,image croix 108795,,,,
113262,[4467],:,trigger 109820,,,,
113262,[0],:,trigger 112221,,,,
113280,[18],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_8.BMP 113280,,,,
113780,[500],:,image croix 113780,,,,
118847,[5067],:,trigger 114620,,,,
118847,[0],:,trigger 117020,,,,
118866,[19],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_5.BMP 118866,,,,
119366,[500],:,image croix 119366,,,,
123233,[3867],:,trigger 119419,,,,
123233,[0],:,trigger 121819,,,,
123268,[35],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_6.BMP 123268,,,,
123768,[500],:,image croix 123768,,,,
126935,[3167],:,bouton_1 403,,,,
