Cog2000 log file Tue Jan 29 16:08:00 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogInput.mex,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogSerial.mex,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
3,[3],:,COGENT START,,,,
183585,[183582],:,Key,76.0,DOWN,at,183585.0
183592,[7],:,Debut_run 1 : run 1,,,,
195871,[12279],:,Byte,107.0,COM1,at,195870.0
195871,[0],:,Byte,176.0,COM1,at,195870.0
195871,[0],:,Byte,69.0,COM1,at,195870.0
195874,[3],:,Byte,63.0,COM1,at,195870.0
195877,[3],:,Byte,18.0,COM1,at,195870.0
195878,[1],:,Byte,0.0,COM1,at,195870.0
195879,[1],:,Byte,107.0,COM1,at,195870.0
195882,[3],:,Byte,160.0,COM1,at,195870.0
195883,[1],:,Byte,74.0,COM1,at,195871.0
195885,[2],:,Byte,63.0,COM1,at,195871.0
195886,[1],:,Byte,18.0,COM1,at,195871.0
195887,[1],:,Byte,0.0,COM1,at,195871.0
195888,[1],:,Synchro_IRM,,,,
195980,[92],:,image nostim.bmp 195980,,,,
196847,[867],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_6.bmp 196847,,,,
197347,[500],:,image croix 197347,,,,
202714,[5367],:,trigger 198270,,,,
202714,[0],:,trigger 200670,,,,
202733,[19],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_4.bmp 202733,,,,
203200,[467],:,trigger 203070,,,,
203233,[33],:,image croix 203233,,,,
207600,[4367],:,bouton_1 357,,,,
207600,[0],:,trigger 205469,,,,
207635,[35],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_1.bmp 207635,,,,
208102,[467],:,trigger 207871,,,,
208135,[33],:,image croix 208135,,,,
211002,[2867],:,bouton_1 300,,,,
211002,[0],:,trigger 210270,,,,
211036,[34],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_6.bmp 211036,,,,
211537,[501],:,image croix 211536,,,,
215403,[3866],:,trigger 212671,,,,
215403,[0],:,trigger 215070,,,,
215438,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_2.bmp 215438,,,,
215938,[500],:,image croix 215938,,,,
220605,[4667],:,bouton_1 226,,,,
220605,[0],:,trigger 217469,,,,
220605,[0],:,trigger 219871,,,,
220640,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_8.bmp 220640,,,,
221140,[500],:,image croix 221140,,,,
225007,[3867],:,bouton_1 303,,,,
225007,[0],:,trigger 222269,,,,
225007,[0],:,trigger 224671,,,,
225042,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_3.bmp 225042,,,,
225542,[500],:,image croix 225542,,,,
230409,[4867],:,trigger 227070,,,,
230409,[0],:,trigger 229469,,,,
230444,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_4.bmp 230444,,,,
230944,[500],:,image croix 230944,,,,
236111,[5167],:,trigger 231869,,,,
236111,[0],:,trigger 234270,,,,
236130,[19],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_6.bmp 236130,,,,
236630,[500],:,image croix 236630,,,,
240497,[3867],:,trigger 236670,,,,
240497,[0],:,bouton_1 280,,,,
240497,[0],:,trigger 239070,,,,
240531,[34],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_1.bmp 240531,,,,
241032,[501],:,image croix 241032,,,,
245599,[4567],:,bouton_1 222,,,,
245599,[0],:,trigger 241470,,,,
245599,[0],:,trigger 243871,,,,
245634,[35],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_4.bmp 245634,,,,
246134,[500],:,image croix 246134,,,,
250101,[3967],:,trigger 246265,,,,
250101,[0],:,bouton_1 298,,,,
250101,[0],:,trigger 248671,,,,
250136,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_9.bmp 250136,,,,
250636,[500],:,image croix 250636,,,,
254303,[3667],:,bouton_1 250,,,,
254303,[0],:,trigger 251070,,,,
254304,[1],:,trigger 253470,,,,
254337,[33],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_8.bmp 254337,,,,
254837,[500],:,image croix 254837,,,,
258904,[4067],:,bouton_1 340,,,,
258904,[0],:,trigger 255870,,,,
258904,[0],:,trigger 258269,,,,
258939,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_1.bmp 258939,,,,
259439,[500],:,image croix 259439,,,,
263306,[3867],:,bouton_1 394,,,,
263306,[0],:,trigger 260671,,,,
263306,[0],:,trigger 263070,,,,
263341,[35],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_7.bmp 263341,,,,
263841,[500],:,image croix 263841,,,,
269108,[5267],:,trigger 265469,,,,
269108,[0],:,trigger 267871,,,,
269143,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_5.bmp 269143,,,,
269643,[500],:,image croix 269643,,,,
274510,[4867],:,bouton_1 113,,,,
274510,[0],:,trigger 270270,,,,
274510,[0],:,trigger 272670,,,,
274545,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_9.bmp 274545,,,,
275046,[501],:,image croix 275046,,,,
279613,[4567],:,trigger 275070,,,,
279613,[0],:,bouton_1 24,,,,
279613,[0],:,bouton_1 128,,,,
279616,[3],:,trigger 277469,,,,
279647,[31],:,image nostim.bmp 279647,,,,
280114,[467],:,trigger 279870,,,,
280147,[33],:,image croix 280147,,,,
284314,[4167],:,trigger 282270,,,,
284349,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_1.bmp 284349,,,,
284816,[467],:,trigger 284671,,,,
284849,[33],:,image croix 284849,,,,
288316,[3467],:,bouton_1 122,,,,
288316,[0],:,trigger 287071,,,,
288350,[34],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_8.bmp 288350,,,,
288851,[501],:,image croix 288850,,,,
293117,[4266],:,trigger 289470,,,,
