Cog2000 log file Tue Jun 26 16:20:05 2012,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
0,[0],:,COGENT START,,,,
1072791,[1072791],:,Key,64.0,DOWN,at,1072791.0
1073611,[820],:,Key,28.0,DOWN,at,1073611.0
1073612,[1],:,Debut_run 1 : run 1,,,,
1084581,[10969],:,Byte,107.0,COM1,at,1084581.0
1084582,[1],:,Byte,176.0,COM1,at,1084581.0
1084582,[0],:,Byte,30.0,COM1,at,1084581.0
1084585,[3],:,Byte,204.0,COM1,at,1084581.0
1084587,[2],:,Byte,14.0,COM1,at,1084581.0
1084589,[2],:,Byte,0.0,COM1,at,1084581.0
1084593,[4],:,Byte,107.0,COM1,at,1084581.0
1084600,[7],:,Byte,160.0,COM1,at,1084581.0
1084603,[3],:,Byte,35.0,COM1,at,1084581.0
1084605,[2],:,Byte,204.0,COM1,at,1084581.0
1084608,[3],:,Byte,14.0,COM1,at,1084581.0
1084610,[2],:,Byte,0.0,COM1,at,1084581.0
1084613,[3],:,Synchro_IRM,,,,
1084687,[74],:,image nostim.BMP 1084687,,,,
1085488,[801],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_4.BMP 1085487,,,,
1085988,[500],:,image croix 1085987,,,,
1090654,[4666],:,bouton_1 421,,,,
1090655,[1],:,trigger 1086981,,,,
1090655,[0],:,trigger 1089380,,,,
1090689,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_1.BMP 1090689,,,,
1091189,[500],:,image croix 1091189,,,,
1095656,[4467],:,bouton_1 95,,,,
1095656,[0],:,trigger 1091781,,,,
1095657,[1],:,trigger 1094181,,,,
1095691,[34],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_9.BMP 1095691,,,,
1096192,[501],:,image croix 1096191,,,,
1099658,[3466],:,trigger 1096581,,,,
1099658,[0],:,bouton_1 605,,,,
1099658,[0],:,trigger 1098981,,,,
1099693,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_2.BMP 1099693,,,,
1100193,[500],:,image croix 1100193,,,,
1105560,[5367],:,trigger 1101380,,,,
1105560,[0],:,bouton_1 1404,,,,
1105560,[0],:,trigger 1103782,,,,
1105595,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_7.BMP 1105595,,,,
1106095,[500],:,image croix 1106095,,,,
1109262,[3167],:,trigger 1106181,,,,
1109262,[0],:,trigger 1108581,,,,
1109296,[34],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_8.BMP 1109296,,,,
1109797,[501],:,image croix 1109797,,,,
1114564,[4767],:,trigger 1110981,,,,
1114564,[0],:,trigger 1113380,,,,
1114599,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_5.BMP 1114599,,,,
1115099,[500],:,image croix 1115099,,,,
1119966,[4867],:,bouton_1 526,,,,
1119966,[0],:,trigger 1115781,,,,
1119966,[0],:,trigger 1118181,,,,
1120002,[36],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_2.BMP 1120002,,,,
1120502,[500],:,image croix 1120502,,,,
1124369,[3867],:,bouton_1 63,,,,
1124369,[0],:,trigger 1120581,,,,
1124369,[0],:,trigger 1122981,,,,
1124403,[34],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_8.BMP 1124403,,,,
1124903,[500],:,image croix 1124903,,,,
1129670,[4767],:,bouton_1 457,,,,
1129670,[0],:,trigger 1125380,,,,
1129670,[0],:,trigger 1127781,,,,
1129705,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_3.BMP 1129705,,,,
1130206,[501],:,image croix 1130206,,,,
1134573,[4367],:,trigger 1130181,,,,
1134573,[0],:,bouton_1 169,,,,
1134573,[0],:,trigger 1132581,,,,
1134607,[34],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_3.BMP 1134607,,,,
1135074,[467],:,trigger 1134981,,,,
1135107,[33],:,image croix 1135107,,,,
1138174,[3067],:,bouton_1 145,,,,
1138174,[0],:,trigger 1137380,,,,
1138209,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_8.BMP 1138209,,,,
1138709,[500],:,image croix 1138709,,,,
1142376,[3667],:,trigger 1139781,,,,
1142376,[0],:,bouton_1 1512,,,,
1142376,[0],:,trigger 1142181,,,,
1142410,[34],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_1.BMP 1142410,,,,
1142911,[501],:,image croix 1142911,,,,
1147478,[4567],:,bouton_1 238,,,,
1147478,[0],:,trigger 1143149,,,,
1147478,[0],:,trigger 1144581,,,,
1147481,[3],:,trigger 1146980,,,,
1147512,[31],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_6.BMP 1147512,,,,
1148012,[500],:,image croix 1148012,,,,
1153879,[5867],:,trigger 1149380,,,,
1153879,[0],:,trigger 1151781,,,,
1153898,[19],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_3.BMP 1153898,,,,
1154366,[468],:,trigger 1154180,,,,
1154398,[32],:,image croix 1154398,,,,
1158565,[4167],:,trigger 1156582,,,,
1158584,[19],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_3.BMP 1158584,,,,
1159051,[467],:,trigger 1158981,,,,
1159084,[33],:,image croix 1159084,,,,
1162451,[3367],:,bouton_1 670,,,,
1162451,[0],:,bouton_2 1111,,,,
1162451,[0],:,trigger 1161380,,,,
1162485,[34],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_5.BMP 1162485,,,,
1162985,[500],:,image croix 1162985,,,,
1166753,[3768],:,trigger 1163781,,,,
1166753,[0],:,trigger 1166180,,,,
1166787,[34],:,image nostim.BMP 1166787,,,,
1167287,[500],:,image croix 1167287,,,,
1172754,[5467],:,trigger 1168581,,,,
1172754,[0],:,trigger 1170981,,,,
1172772,[18],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_7.BMP 1172772,,,,
1173273,[501],:,image croix 1173273,,,,
1175940,[2667],:,trigger 1173380,,,,
