Run,Essai,Tps écoulé / début run,Temps début image / synchro,%  morph,n° couple,Réponse,TR
1,1,35172,847,15,4,1,558
1,2,40374,6049,95,1,1,846
1,3,45376,11051,75,9,1,843
1,4,49378,15053,5,2,0,
1,5,55281,20956,45,7,1,888
1,6,58982,24657,55,8,1,759
1,7,64284,29959,25,5,0,
1,8,69669,35344,35,2,1,1236
1,9,74072,39747,85,8,1,814
1,10,79373,45048,55,3,1,999
1,11,84276,49951,75,3,1,827
1,12,87877,53552,65,8,1,742
1,13,92078,57753,45,1,0,
1,14,97164,62839,45,6,0,
1,15,103550,69225,15,3,0,
1,16,108252,73927,95,3,1,801
1,17,112154,77829,45,5,1,1333
1,18,122441,88116,95,7,1,753
1,19,125643,91318,25,7,0,
1,20,131445,97120,5,4,0,
1,21,136147,101822,55,9,1,805
1,22,140448,106123,55,1,0,
1,23,145234,110909,35,5,1,739
1,24,150936,116611,65,5,1,685
1,25,154438,120113,65,3,1,677
1,26,160440,126115,35,4,0,
1,27,165442,131117,5,9,0,
1,28,170344,136019,95,5,1,917
1,29,175146,140821,85,5,1,832
1,30,179848,145523,85,9,1,681
1,31,183649,149324,75,7,1,883
1,32,188951,154626,95,9,1,581
1,33,193753,159428,25,4,1,3487
1,34,199455,165130,65,9,1,654
1,35,202957,168632,45,3,1,577
1,36,207158,172833,85,2,1,900
1,37,212660,178335,65,2,1,618
1,38,217463,183138,65,4,1,642
1,39,227867,193542,5,3,1,704
1,40,232169,197844,5,5,1,511
1,41,237771,203446,95,2,1,575
1,42,240872,206547,35,1,1,672
1,43,245674,211349,55,4,1,576
1,44,261664,227339,95,6,1,600
1,45,266066,231741,55,2,1,467
1,46,271068,236743,25,6,1,579
1,47,274669,240344,95,4,1,938
1,48,280255,245930,45,4,1,525
1,49,284857,250532,55,6,1,526
1,50,290259,255934,15,8,1,514
1,51,294261,259936,5,8,1,583
1,52,299263,264938,85,7,1,480
1,53,304765,270440,55,5,1,891
1,54,309366,275041,55,7,1,903
1,55,313368,279043,45,9,1,893
1,56,318454,284129,35,8,1,475
1,57,324156,289831,35,6,1,474
1,58,327657,293332,85,1,1,944
1,59,332943,298618,15,9,1,632
1,60,338345,304020,75,5,1,871
1,61,341746,307421,25,2,1,482
1,62,347948,313623,25,1,1,962
1,63,352450,318125,25,3,1,961
1,64,357336,323011,45,2,1,936
1,65,362538,328213,55,2,1,857
1,66,365839,331514,85,3,1,950
1,67,370642,336317,65,7,1,493
1,68,376043,341718,15,1,1,907
1,69,380245,345920,85,6,1,926
1,70,390833,356508,25,8,1,621
1,71,395534,361209,5,7,1,625
1,72,399336,365011,95,8,1,904
1,73,404622,370297,15,2,1,517
1,74,409123,374798,55,5,1,574
1,75,414426,380101,55,1,1,929
1,76,419911,385586,5,1,1,530
1,77,424913,390588,45,8,1,487
1,78,429816,395491,75,2,1,488
1,79,434017,399692,75,6,1,488
1,80,442921,408596,35,7,1,530
1,81,449023,414698,5,6,1,1076
1,82,451924,417599,35,3,1,677
1,83,457927,423602,45,2,1,939
1,84,462628,428303,45,1,0,
1,85,468131,433806,25,9,1,587
1,86,472132,437807,85,4,1,617
1,87,476334,442009,95,1,1,536
1,88,481036,446711,5,9,1,1879
1,89,486739,452414,75,4,1,666
1,90,490340,456015,75,8,1,490
1,91,495241,460916,65,1,1,467
1,92,500144,465819,5,6,1,907
1,93,505046,470721,15,7,1,1176
2,1,608155,434,75,1,1,2003
2,2,613756,6035,95,5,1,167
2,4,622544,14823,45,8,1,248
2,5,628745,21024,45,9,1,396
2,7,638333,30612,75,6,1,213
2,8,646336,38615,95,8,1,191
2,9,651838,44117,85,1,1,32
